_id,titulo,subtitulo,dataCriacao,dataRegisto,produtor,visibilidade,[likes],[hastags],[post]
2021-01-29T10:11:24Z-1-Simulaaeaao,1-Simulaaeaao,1ae_Ano-1ae_Semestre-Elementos_de_Engenharia_de_Sistemas-1-Simulaaeaao,2021-01-29T10:11:25.000Z,2021-01-29T10:11:25.000Z,admin,publico,[],[Elementos_de_Engenharia_de_Sistemas],[]
2021-01-29T10:11:25Z-2-Filas_de_Espera,2-Filas_de_Espera,1ae_Ano-1ae_Semestre-Elementos_de_Engenharia_de_Sistemas-2-Filas_de_Espera,2021-01-29T10:11:25.000Z,2021-01-29T10:11:25.000Z,admin,publico,[],[Elementos_de_Engenharia_de_Sistemas],[]
2021-01-29T10:11:25Z-3-Optimizaaeaao_de_Sistemas_em_Rede,3-Optimizaaeaao_de_Sistemas_em_Rede,1ae_Ano-1ae_Semestre-Elementos_de_Engenharia_de_Sistemas-3-Optimizaaeaao_de_Sistemas_em_Rede,2021-01-29T10:11:25.000Z,2021-01-29T10:11:25.000Z,admin,publico,[],[Elementos_de_Engenharia_de_Sistemas],[]
2021-01-29T10:11:25Z-4-Gestaao_de_Projectos,4-Gestaao_de_Projectos,1ae_Ano-1ae_Semestre-Elementos_de_Engenharia_de_Sistemas-4-Gestaao_de_Projectos,2021-01-29T10:11:25.000Z,2021-01-29T10:11:25.000Z,admin,publico,[],[Elementos_de_Engenharia_de_Sistemas],[]
2021-01-29T10:11:29Z-Apontamentos_Extras,Apontamentos_Extras,1ae_Ano-1ae_Semestre-Taopicos_de_Matemaatica_Discreta-Apontamentos_Extras,2021-01-29T10:11:29.000Z,2021-01-29T10:11:29.000Z,admin,publico,[],[Taopicos_de_Matemaatica_Discreta],[]
2021-01-29T10:11:17Z-Apontamentos_extras,Apontamentos_extras,1ae_Ano-1ae_Semestre-aalgebra_Linear-Apontamentos_extras,2021-01-29T10:11:17.000Z,2021-01-29T10:11:17.000Z,admin,publico,[],[aalgebra_Linear],[]
2021-01-29T10:11:20Z-Apontamentos_extras,Apontamentos_extras,1ae_Ano-1ae_Semestre-Caalculo_(Caalculo_I)-Apontamentos_extras,2021-01-29T10:11:20.000Z,2021-01-29T10:11:20.000Z,admin,publico,[],[Caalculo_(Caalculo_I)],[]
2021-01-29T10:11:28Z-Apontamentos_extras,Apontamentos_extras,1ae_Ano-1ae_Semestre-Programaaeaao_Funcional-Apontamentos_extras,2021-01-29T10:11:28.000Z,2021-01-29T10:11:28.000Z,admin,publico,[],[Programaaeaao_Funcional],[]
2021-01-29T10:11:35Z-Apontamentos_extras,Apontamentos_extras,1ae_Ano-2ae_Semestre-Laogica-Apontamentos_extras,2021-01-29T10:11:36.000Z,2021-01-29T10:11:36.000Z,admin,publico,[],[Laogica],[]
2021-01-29T10:12:09Z-Apontamentos_extras,Apontamentos_extras,2ae_Ano-1ae_Semestre-Estataistica_Aplicada-Apontamentos_extras,2021-01-29T10:12:10.000Z,2021-01-29T10:12:10.000Z,admin,publico,[],[Estataistica_Aplicada],[]
